-3.12672,-0.879389,-13.4689,-13.4689,12.8036,-10.6153
-4.42791,-2.57669,-13.4814,-13.4817,13.2838,-10.9972
-6.03982,-5.47167,-13.176,-13.177,13.659,-10.9585
-5.48457,-9.94599,-12.3111,-12.3137,13.95,-9.94941
-5.06412,-15.1298,-11.56,-11.5626,13.5832,-9.10133
-4.69231,-10.9185,-10.0278,-10.0315,9.98382,-7.17352
-4.74923,0.418462,-8.5353,-8.53871,6.62571,-5.22211
-3.07378,3.88069,-6.40527,-6.40978,4.37145,-2.50235
0.446571,-3.04147,-4.53825,-4.54175,3.76597,-0.16869
0.095624,-7.80065,-2.56691,-2.56966,2.24958,1.62917
-3.31751,-4.97054,-0.531981,-0.535715,-0.83726,3.23622
-5.92659,1.70636,1.53344,1.53029,-4.25608,5.49661
-1.6932,4.30348,3.06408,3.06034,-6.21791,7.76257
-0.382208,3.01812,4.57876,4.57514,-7.39567,10.2479
2.12211,-0.610561,6.57465,6.5715,-8.67661,12.9248
4.16667,-2.38833,8.79052,8.78746,-10.6799,15.6446
3.16074,-0.50423,10.3005,10.2978,-12.9858,17.1672
4.08446,3.5777,11.544,11.5419,-15.2673,18.5717
4.20513,6.18974,12.4807,12.4792,-16.7217,19.5941
5.22165,5.57904,13.1869,13.1863,-17.24,20.3079
3.89081,4.08839,13.3544,13.3549,-17.2253,20.3296
3.82211,4.01036,13.2937,13.2949,-17.1657,20.2303
3.46404,5.04623,12.8336,12.8354,-16.862,19.9156
4.65986,5.01531,12.4479,12.4495,-16.4339,19.6111
4.32542,4.58644,11.1163,11.1196,-14.7875,18.2574
5.11664,3.52316,9.74742,9.75182,-13.1031,16.7428
2.60899,4.21797,8.14021,8.14534,-11.3998,14.9228
4.30885,3.16027,6.35363,6.35877,-9.36388,13.0404
1.49427,3.39935,4.83356,4.83842,-7.55993,11.2173
3.37541,1.84754,2.46311,2.46826,-4.87792,9.00357
6.07754,1.99354,-0.559677,-0.55427,-1.82042,5.94241
0.326019,2.09561,-2.90849,-2.90328,0.893465,2.29321
0.862776,-0.621451,-5.65321,-5.64868,4.30835,-1.21303
-0.923077,-2.29199,-7.62827,-7.62391,6.64571,-3.77517
-4.48372,-2.51628,-10.0952,-10.0917,9.2296,-7.41853
